artist,title,album,url,isDownloaded
Bad Omens,The Worst In Me,Bad Omens,https://music.youtube.com/watch?v=KnqQh4kyUQMlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Architects,Animals,For Those That Wish To Exist,https://music.youtube.com/watch?v=XkYPPUK5joslist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Motionless In White,Another Life,Disguise,https://music.youtube.com/watch?v=d0cN19NIl-Mlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Zero 9:36,The End,The End,https://music.youtube.com/watch?v=jtGxB0bZvVMlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Hollywood Undead,Your Life,Five,https://music.youtube.com/watch?v=NG9t-st72XUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
I Prevail,Come And Get It,Lifelines,https://music.youtube.com/watch?v=tGGwFvf1RtElist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
I Prevail,Alone,Lifelines,https://music.youtube.com/watch?v=jkE49imdYnUlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
I Prevail,Scars,Lifelines,https://music.youtube.com/watch?v=klQk67f1eiclist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Sleeping With Sirens,Alone (feat. MGK),Feel,https://music.youtube.com/watch?v=lga8SAENylMlist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Pierce The Veil,Bulls In The Bronx,Collide with the Sky,https://music.youtube.com/watch?v=MBECq3GRnY4list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
All Time Low,Don't You Go,Future Hearts,https://music.youtube.com/watch?v=YxOp9MhUFpolist=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
Yours Truly,Afterglow,Afterglow,https://music.youtube.com/watch?v=zW5csD63oW8list=PLzx7xtGqjNzoahrq-AQmO7DHbJZtGqZUC,False
